Ár;Mánuður;Heiti;Bankar, sparisjóðir og lánafyrirtæki;Verðbréfa- og fjárfestingarsjóðir;Lífeyrissjóðir;Fyrirtæki;Tryggingafélög;Einstaklingar;Aðrir;Erlendir aðilar
2025;maí;RIKB 25 0612;30268;2031;10866;5668;77;1345;5522;11999
2025;maí;RIKB 26 1015;40633;15326;11517;5945;1989;1201;2;14521
2025;maí;RIKB 27 0415;49623;26726;13205;11048;5825;1517;315;580
2025;maí;RIKB 28 1115;18785;26846;41798;7116;11546;2176;8645;1971
2025;maí;RIKB 31 0124;4538;16342;65558;3812;10509;1337;6450;16286
2025;maí;RIKB 35 0917;2791;15873;26889;1150;7550;307;786;26090
2025;maí;RIKB 38 0215;3506;9576;7500;412;4044;105;450;4298
2025;maí;RIKB 42 0217;1367;5191;27817;971;8170;72;526;29417
2025;maí;RIKS 26 0216;24087;15519;16780;12037;9686;4807;520;196
2025;maí;RIKS 30 0701;1863;12141;55164;1202;7119;1494;458;3
2025;maí;RIKS 33 0321;2356;11193;57005;1005;3841;2023;2348;84
2025;maí;RIKS 37 0115;1292;7058;60805;527;1856;135;244;5
2025;maí;Víxlar alls;68094;38085;1530;9600;2830;;425;2768
2025;apr;RIKB 25 0612;26662;3700;12494;5688;283;1428;5522;11999
2025;apr;RIKB 26 1015;40457;15261;11547;4786;2405;1271;87;14521
2025;apr;RIKB 27 0415;44663;21483;11680;8886;5988;1640;407;580
2025;apr;RIKB 28 1115;19617;23727;42540;7040;12429;2504;8795;2230
2025;apr;RIKB 31 0124;4164;13852;65091;3499;9224;1578;6085;22659
2025;apr;RIKB 35 0917;2880;16538;26489;1199;6688;307;448;26247
2025;apr;RIKB 38 0215;0;8411;5235;107;3334;105;345;4298
2025;apr;RIKB 42 0217;0;5586;27417;971;6870;72;526;29417
2025;apr;RIKS 26 0216;24358;18737;16740;8310;10046;4683;520;198
2025;apr;RIKS 30 0701;1428;12732;54574;1177;7764;1542;543;3
2025;apr;RIKS 33 0321;1963;11598;56455;1005;4291;2027;2518;89
2025;apr;RIKS 37 0115;622;7833;60705;527;1706;135;194;5
2025;apr;Víxlar alls;76201;48289;2075;11100;3730;;575;3149
2025;mar;RIKB 25 0612;28762;2548;19528;5178;838;1429;5522;11961
2025;mar;RIKB 26 1015;39708;13343;5547;4297;2605;1271;87;12961
2025;mar;RIKB 27 0415;43202;19709;10965;8101;5743;1550;267;582
2025;mar;RIKB 28 1115;20403;24934;42325;6643;11604;2342;8400;2230
2025;mar;RIKB 31 0124;3945;14332;64441;3438;9074;1660;6085;23808
2025;mar;RIKB 35 0917;2017;16103;24693;1177;6881;307;653;25647
2025;mar;RIKB 38 0215;2620;5681;4935;7;2080;105;285;4298
2025;mar;RIKB 42 0217;0;6470;26917;971;6770;72;526;29417
2025;mar;RIKS 26 0216;22507;20137;15778;8281;11366;4545;780;198
2025;mar;RIKS 30 0701;1494;13282;54244;1177;7054;1536;503;3
2025;mar;RIKS 33 0321;2402;12216;55235;1005;4498;2031;2518;89
2025;mar;RIKS 37 0115;766;7934;60505;527;1816;135;179;5
2025;mar;Víxlar alls;83362;50325;1895;11401;3610;;575;1606
2025;feb;RIKB 25 0612;32165;5270;19928;5168;1402;1446;5522;11961
2025;feb;RIKB 26 1015;32845;13403;5487;4230;3005;1274;87;12593
2025;feb;RIKB 27 0415;41242;22175;10570;7132;6687;1274;458;582
2025;feb;RIKB 28 1115;16975;24216;42815;6513;12204;2382;8400;5378
2025;feb;RIKB 31 0124;5003;13628;64341;3506;8824;1438;6185;23808
2025;feb;RIKB 35 0917;3387;15434;24393;1227;6981;324;633;25075
2025;feb;RIKB 38 0215;3798;2690;2285;;900;100;115;4093
2025;feb;RIKB 42 0217;1701;6310;26917;971;6670;72;526;29417
2025;feb;RIKS 26 0216;22148;17145;17968;8328;12661;4389;685;269
2025;feb;RIKS 30 0701;1806;13758;54075;1158;6727;1471;614;3
2025;feb;RIKS 33 0321;2763;13161;54487;1005;3773;2018;2508;89
2025;feb;RIKS 37 0115;1081;8719;58705;527;1541;130;154;5
2025;feb;Víxlar alls;94281;48424;1875;13800;4870;;577;3906
2025;jan;RIKB 25 0612;35793;6651;20998;4774;1862;1471;5522;11788
2025;jan;RIKB 26 1015;34482;12183;5677;4345;3923;1283;87;10945
2025;jan;RIKB 27 0415;37109;21807;8861;5969;6768;1290;607;582
2025;jan;RIKB 28 1115;16190;25795;43015;6276;11494;2393;8400;5318
2025;jan;RIKB 31 0124;5143;13008;64341;3506;9054;1327;6355;23518
2025;jan;RIKB 35 0917;4490;14898;24293;1342;7121;209;643;24458
2025;jan;RIKB 42 0217;1431;4600;26562;971;6470;72;236;28336
2025;jan;RIKS 26 0216;24656;15784;17495;8380;12111;4313;610;244
2025;jan;RIKS 30 0701;1411;14874;53350;1168;6757;1443;579;1
2025;jan;RIKS 33 0321;2542;13158;54562;1005;3863;2028;2628;89
2025;jan;RIKS 37 0115;1069;8932;58205;527;1741;130;254;5
2025;jan;Víxlar alls;120476;50099;1850;14900;6200;;577;3681
2024;des;RIKB 25 0612;32533;9798;20998;4537;2407;1484;5522;11683
2024;des;RIKB 26 1015;30888;14411;5946;4514;5329;1367;87;10933
2024;des;RIKB 27 0415;31722;20650;6964;4358;5283;1112;607;355
2024;des;RIKB 28 1115;19338;25071;43060;5705;10169;2339;8300;4900
2024;des;RIKB 31 0124;4603;12913;64293;3566;9153;1492;6244;23518
2024;des;RIKB 35 0917;1619;13578;18389;1042;7240;209;893;24386
2024;des;RIKB 42 0217;556;4895;25952;839;6648;72;246;28336
2024;des;RIKS 26 0216;27328;14903;16698;7991;11892;4038;580;173
2024;des;RIKS 30 0701;1697;14968;53694;1213;6608;1437;459;1
2024;des;RIKS 33 0321;2347;12753;55061;1025;3714;2028;2628;89
2024;des;RIKS 37 0115;768;9312;57160;527;1756;130;354;5
2024;des;Víxlar alls;117673;45239;1500;15220;6350;;577;3051
2024;nóv;RIKB 25 0612;41060;13950;24695;5076;2857;1521;5522;10368
2024;nóv;RIKB 26 1015;31687;12721;5741;4672;6168;1521;130;10284
2024;nóv;RIKB 27 0415;26351;17510;4819;3509;4668;975;607;355
2024;nóv;RIKB 28 1115;18297;25354;43535;5558;11033;2266;8480;4360
2024;nóv;RIKB 31 0124;4639;12976;64393;3456;9378;1423;6399;23518
2024;nóv;RIKB 35 0917;1747;13738;17231;942;7540;259;893;24186
2024;nóv;RIKB 42 0217;1576;4775;25752;889;6448;72;246;28336
2024;nóv;RIKS 26 0216;29179;13709;16633;7905;11635;3980;380;173
2024;nóv;RIKS 30 0701;1363;15304;53960;1216;6213;1437;459;1
2024;nóv;RIKS 33 0321;2704;12893;54930;1025;3754;2032;2628;89
2024;nóv;RIKS 37 0115;869;9762;54851;527;1756;130;354;5
2024;nóv;Víxlar alls;136783;40840;1100;15620;5550;;577;2451
2024;okt;RIKB 25 0612;46377;10916;25010;5024;3984;2099;5522;10830
2024;okt;RIKB 26 1015;31116;12208;5941;4957;6818;1883;130;10071
2024;okt;RIKB 27 0415;24958;16192;4519;2928;4395;778;600;355
2024;okt;RIKB 28 1115;10975;22963;45085;4812;9763;1357;8200;10310
2024;okt;RIKB 31 0124;5870;15771;66448;3719;9925;1310;6802;17558
2024;okt;RIKB 35 0917;2883;11821;15274;749;7016;143;612;22784
2024;okt;RIKB 42 0217;1468;5225;25052;889;6694;77;400;28336
2024;okt;RIKS 26 0216;32323;12171;16198;7397;11100;3899;843;163
2024;okt;RIKS 30 0701;1648;15138;53840;1245;6147;1479;566;1
2024;okt;RIKS 33 0321;3030;13083;54527;1005;3694;2029;2628;89
2024;okt;RIKS 37 0115;1377;9891;54196;527;2001;131;384;5
2024;okt;Víxlar alls;146490;42655;400;14520;5250;0;577;2898
2024;sep;RIKB 25 0612;44382;10451;25370;5379;4594;2329;5253;12005
2024;sep;RIKB 26 1015;28698;13568;6168;4905;7367;1851;621;9947
2024;sep;RIKB 27 0415;19917;12046;3544;1875;3190;364;150;354
2024;sep;RIKB 28 1115;11093;23953;46483;4734;9743;1117;8289;8052
2024;sep;RIKB 31 0124;6189;16596;66238;3641;9855;1215;6762;16082
2024;sep;RIKB 35 0917;1826;12986;13721;682;6023;83;355;20693
2024;sep;RIKB 42 0217;1379;6085;24622;889;6474;77;420;28336
2024;sep;RIKS 26 0216;33559;11214;15739;7305;12281;3715;210;161
2024;sep;RIKS 30 0701;1054;15559;53337;1318;6102;1421;626;1
2024;sep;RIKS 33 0321;2563;13573;54067;995;3834;2085;2688;89
2024;sep;RIKS 37 0115;1113;8941;50911;477;1986;131;384;5
2024;sep;Víxlar alls;133682;44814;600;12990;4850;;761;3308
2024;ágú;RIKB 25 0612;43406;11162;25663;4697;5544;2133;5253;12005
2024;ágú;RIKB 26 1015;29204;14166;6188;4745;7267;1902;621;8831
2024;ágú;RIKB 27 0415;21993;11030;3344;1636;2690;243;150;354
2024;ágú;RIKB 28 1115;9464;23983;47793;4834;9993;1057;8289;8052
2024;ágú;RIKB 31 0124;5415;16972;66438;3626;9710;1239;6722;16082
2024;ágú;RIKB 35 0917;3282;12712;12680;632;4953;63;325;18665
2024;ágú;RIKB 42 0217;852;7095;24028;839;6734;71;460;26463
2024;ágú;RIKS 26 0216;35440;11451;15010;5483;12753;3554;210;161
2024;ágú;RIKS 30 0701;1576;16245;52505;1362;5722;1417;626;1
2024;ágú;RIKS 33 0321;2501;13813;54065;995;3774;2088;2688;89
2024;ágú;RIKS 37 0115;1029;8342;51108;477;2016;131;384;5
2024;ágú;Víxlar alls;137337;45848;855;12490;3100;;761;1713
2024;júl;RIKB 25 0612;39581;14180;26060;4647;5924;1605;5253;12513
2024;júl;RIKB 26 1015;28099;14311;6075;4928;8167;1891;621;8833
